Dataset,Target,Original_Rows,Selected_Rows,Compression_%,Baseline_R2,CRDISA_R2,Baseline_RMSE,CRDISA_RMSE,R2_Change_%,RMSE_Change_%
accelerometer.csv,z,153000,35662,76.69,0.0107,0.0056,0.5155,0.5168,-48.07,0.26
weatherHistory.csv,Temperature (C),96453,23774,75.35,0.9901,0.9888,0.9507,1.0128,-0.13,6.53
house.csv,Price,22784,6191,72.83,0.268,0.2167,45914.919,47496.0813,-19.13,3.44
house.csv,Price,22784,6191,72.83,0.268,0.2167,45914.919,47496.0813,-19.13,3.44
mv.csv,Y,81535,27189,66.65,0.8126,0.8008,4.52,4.66,-1.45,3.1
turbine.csv,gearbox_oil_temp,262800,9632,96.33,0.8313,0.5788,3.0753,4.8591,-30.37,58.0
weatherHistory.csv,Temperature (C),96453,16957,82.42,0.9901,0.9874,0.9507,1.076,-0.28,13.18
house.csv,Price,22784,13650,40.09,0.268,0.182,45914.919,48538.5325,-32.1,5.71
turbine.csv,gearbox_oil_temp,262800,2656,98.99,0.8313,-0.5677,3.0753,9.3748,-168.3,204.84
turbine.csv,gearbox_oil_temp,262800,1984,99.25,0.8313,0.5731,3.0753,4.8922,-31.06,59.08
turbine.csv,gearbox_oil_temp,262800,28164,89.28,0.8313,0.5857,3.0753,4.8194,-29.54,56.71
weatherHistory.csv,Temperature (C),96453,16957,82.42,0.9901,0.9874,0.9507,1.076,-0.28,13.18
turbine.csv,gearbox_oil_temp,262800,28164,89.28,0.8313,0.5857,3.0753,4.8194,-29.54,56.71
house.csv,Price,22784,16115,29.27,0.268,0.1952,45914.919,48146.027,-27.19,4.86
mv.csv,Y,81535,83491,-2.4,0.8126,0.8067,4.52,4.5912,-0.73,1.58
mv.csv,Y,81535,50115,38.54,0.8126,0.8068,4.52,4.5894,-0.71,1.54
weatherHistory.csv,Temperature (C),96453,16952,82.42,0.9901,0.9874,0.9507,1.0758,-0.28,13.15
house.csv,Price,22784,16113,29.28,0.268,0.1952,45914.919,48145.716,-27.18,4.86
house.csv,Price,linear,22784,16113,29.28,0.268,0.1952,45914.919,48145.716,-27.18,4.86
house.csv,Price,rf,22784,16113,29.28,0.496,0.3134,38100.3846,44467.5494,-36.8,16.71
turbine.csv,gearbox_oil_temp,linear,262800,112179,57.31,0.8313,0.7953,3.0753,3.3872,-4.32,10.14
